category,name,unit_label,base_price,notes,options
כריכונים,מיני קרואסנדוויץ׳,16 יח׳,168,ניתן לשלב 2 סוגים במגש,גאודה | סלט ביצים
כריכונים,כריכונים בלחם כוסמין פרוס,18 יח׳,190,ניתן לשלב 2 סוגים במגש,טונה | סלט ביצים | אנטיפסטי ובולגרית | חציל וביצה | חביתה
כריכונים,כריכונים במיני בריוש,12 יח׳,150,ניתן לשלב 2 סוגים במגש,טונה | סלט ביצים | אנטיפסטי ובולגרית | חציל וביצה | חביתה
כריכונים,כריכונים בפרעצל,12 יח׳,162,ניתן לשלב 2 סוגים במגש,טונה | סלט ביצים | אנטיפסטי ובולגרית | חציל וביצה | חביתה
כריכונים - פרימיום,כריכונים פרימיום בפרעצל,12 יח׳,210,ניתן לשלב 2 סוגים במגש,קפרזה | סלמון | אבוקדו (בעונה)
כריכונים - פרימיום,כריכונים במיני פרעצל פרימיום,12 יח׳,220,,חלומי
כריכונים - פרימיום,כריכונים בייגל אמריקאי חצוי,12 יח׳,180,,גאודה | סלט ביצים | סלמון (+42)
כריכונים - פרימיום,כריכונים בייגל אמריקאי חצוי פרימיום,12 יח׳,220,ניתן לשלב 2 סוגים במגש,קפרזה | סלמון | אבוקדו (בעונה)
מאפים מלוחים,לחמים ומטבל,מגש,98,ניתן לשלב 3 סוגים,שיפון | אגוזים | זיתים | אגוזים צימוקים | דגנים | כוסמין
מאפים מלוחים,ירקות אנטיפסטי,מגש,145,,חצילים בטטה בצל סגול זוקיני פלפל אדום שרי
מאפים מלוחים,ירקות טריים,מגש,120,,מלפפון פלפלים צבעוניים גזר שרי צנונית זיתי קלמטה בזיליקום
מאפים מלוחים,מאפים מלוחים (28-34 יח׳),מגש,125,,גבינה | תפו״א | פטריות | פריך גבינה | פריך תרד וגבינה | פיצה
סלטים גדולים,סלט בולגרית,מגש,135,,תערובת חסות מלפפון עגבניות שרי זיתי קלמטה בצל סגול נענע שמן זית זעתר קרוטונים
סלטים גדולים,סלט בולגרית עם פטה,מגש,139,,תערובת חסות מלפפון עגבניות שרי זיתי קלמטה בצל סגול שמן זית לימון זעתר פטה
סלטים גדולים,סלט קיסר,מגש,139,,חסה קיסר ביצה שבבי פרמזן קרוטונים בצל סגול רוטב קיסר
סלטים גדולים,סלט קיסר פרימיום,מגש,145,,חסה קיסר שרי ביצה שבבי פרמזן קרוטונים רוטב קיסר
סלטים גדולים,סלט מוצרלה,מגש,145,,חסות ועלים שרי זיתי קלמטה בזיליקום תפוז אגוזי מלך בלסמי מצומצם
סלטים גדולים,סלט קינואה ועדשים,מגש,155,,תערובת חסות קוביות בטטה עגבניות שרי עדשים קינואה שקדים קלוים רוטב אסיאטי
סלטים גדולים,סלט פסטה,מגש,155,,תערובת חסות עגבניות שרי פלפל קלוי קוביות בטטה גבינת פטה שמן זית לימון
סלטים גדולים,סלט טונה,מגש,155,,תערובת חסות עגבניות שרי מלפפון סלט טונה ביצה קשה זיתי קלמטה שמן זית לימון
סלטים גדולים,סלט קפרזה,מגש,155,,תערובת חסות עגבניות שרי בצל סגול בייבי מוצרלה שמן זית לימון חומץ בלסמי מצומצם
סלטים גדולים,סלט חלומי,מגש,155,,תערובת חסות עגבניות שרי מלפפון בצל סגול קוביות בטטה זיתי קלמטה חלומי פטה שמן זית לימון זעתר
סלטים גדולים,סלט נבטים אסיאטי,מגש,155,,רצועות כרוב וגזר אטריות שעועית נבטים נענע כוסברה פקאן בוטנים קשיו שומשום קצח רוטב אסיאטי
מגשי אירוח,סלמון,מגש,200,,שמנת מלפפון צנונית עלים
מגשי אירוח,סלט ביצים,מגש,180,,חמוצים עגבניה עלים
מגשי אירוח,גאודה,מגש,180,,מלפפון עגבניה עלים
מגשי אירוח,קפרזה,מגש,200,,פסטו עגבניה בלסמי בזיליקום
מאפים מתוקים,מאפים מתוקים (20-24 יח׳),מגש,95,ניתן לשלב 2 סוגים,רוגלך | גביניות | קרואסון חמאה | קרואסון שוקולד | קרואסון קינמון
מאפים מתוקים,רוגלך (32-34 יח׳),מגש,95,,שוקולד
מאפים מתוקים,רוגלך הבית פרימיום (40-45 יח׳),מגש,198,,שוקולד | קינמון | פיסטוק שוקולד לבן | חלווה | שוקולד חלווה | שקדים | פיסטוק | גבינה
מאפים מתוקים,עוגות שמרים,מגש,108,ניתן לשלב 2 סוגים,שוקולד | חלווה
מאפים מתוקים,רולדות פרסבורגר,מגש,125,ניתן לשלב 2 סוגים,פרסבורגר | גבינת ריקוטה
עוגות ועוגיות,בחושות,מגש,105,ניתן לשלב 2 סוגים,שוקולד | תפוז | גזר אגוזים | שיש | לימון | אוכמניות | בננה אגוזים (טבעונית)
עוגות ועוגיות,עוגיות מתוקות,מגש,139,,ריבה | שוקולד | אלפחורס | ביסקוטי
עוגות ועוגיות,עוגיות מלוחות,מגש,95,,
עוגות ועוגיות,בראוניז וכדורי שוקולד,מגש,142,,20 יח׳ כדורים | 12 קוביות בראוניז
פירות וגבינות,פירות העונה,מגש,195,,
פירות וגבינות,גבינות,מגש,245,,בולגרית | גאודה | קממבר | עיזים מתובל בזעתר | ענבים | אגוזי מלך
פירות וגבינות,כוסות מוזלי,12 יח׳,159,,פירות טריים וסילאן | פירות יער